# Paste each snippet into a Divi **Code module** (not a Text module — Text mangles iframes and scripts). Per page, in the Divi builder: Row > Design > Sizing > Width 100% and Max Width `none` (the literal word none, not 100%); Section > Design > Spacing > padding 0 top and bottom; Row > Design > Spacing > padding 0 top and bottom. A Divi 5 row ships at width 80% / max-width 1080px, so an untouched embed renders in a narrow column and every full-bleed colour band collapses with it. After any CSS change, clear Divi's static CSS cache: Divi > Theme Options > Builder > Advanced > Clear.
# The height in each snippet is only a STARTING value, shown for the moment before the page posts its real height and the listener applies it. The values below were measured at 1440px wide on 2026-09-23; mobile is taller and corrects itself on load. A seed that is far off shows as a brief gap or a brief clip, nothing worse.
# KEEP scrolling="no" ON EVERY IFRAME. Without it, an embedded page that has even a few pixels it could scroll will swallow the visitor's wheel events, and the outer page then only scrolls when the cursor is over its scrollbar. The pages are also built so they have no scroll room of their own (see the trailing-margin guard in each repo's CSS), but this attribute is the cheap second line of defence and costs nothing.

Task	iframe code (column I)	Note
Footer		NOT an iframe. Divi > Theme Builder > the global Footer template > a Code module: paste footer/index.html from <footer class="pm-footer"> through </footer> (skip the top comment and the <link rel="stylesheet"> line). The signal band markup and its <script> are inside that range. Give that module's row/section Full Width. footer/styles.css goes in Divi > Theme Options > Custom CSS. Nothing deploys this automatically — a push to GitHub does not reach the live site.
Home Page	<iframe id="pm-home" src="https://pennmediated.github.io/home/" title="Home &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:3611px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-home');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Blog	<iframe id="pm-blog" src="https://pennmediated.github.io/blog/" title="Blog &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:3956px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-blog');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	PennMEDIATED/blog is the working source. Confirm which repo the live blog actually embeds.
Research Compendium	<iframe id="pm-research-compendium" src="https://pennmediated.github.io/research-compendium/" title="Research Compendium &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:15224px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-research-compendium');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	Repo exists now (was 'no repo yet'). Tallest page on the site — 36,253px at 390px wide.
LLM Civic Discourse	<iframe id="pm-llm-civic-discourse" src="https://pennmediated.github.io/llm-civic-discourse/" title="LLMs &amp; Civic Discourse &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:12944px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-llm-civic-discourse');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	Now ships React and a precompiled app.js from the repo's vendor/ folder. If vendor/ does not reach the server the page renders NOTHING. A static-HTML rewrite is planned that will change this height.
Events	<iframe id="pm-events" src="https://pennmediated.github.io/events/" title="Events &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:1983px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-events');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Data	<iframe id="pm-data" src="https://pennmediated.github.io/data/" title="Data &amp; PennMAP &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:1347px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-data');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Grants Overview	<iframe id="pm-grants-overview" src="https://pennmediated.github.io/grants-overview/" title="Grants Overview &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:3228px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-grants-overview');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Grants Request for Proposals	<iframe id="pm-grants-rfp" src="https://pennmediated.github.io/grants-rfp/" title="Grants Request for Proposals &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:1225px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-grants-rfp');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Leadership & Staff	<iframe id="pm-team-leadership" src="https://pennmediated.github.io/team-leadership/" title="Leadership &amp; Staff &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:4265px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-team-leadership');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
Faculty	<iframe id="pm-team-faculty" src="https://pennmediated.github.io/team-faculty/" title="Affiliated Faculty &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:900px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-team-faculty');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	*** URL CHANGED — CHECK THE LIVE EMBED. This row previously pointed at our-team-faculty, whose local clone tracks Penn-MEDIATED/Team.git, a different org and repo. The current source is PennMEDIATED/team-faculty. If the live page still embeds the old URL, the 2026-09 iframe-height fix will not reach it. *** The 900px height is a design choice (fixed-viewport app), not a measurement; below 820px it stacks and reports real content height.
Job Openings	<iframe id="pm-team-job-openings" src="https://pennmediated.github.io/team-job-openings/" title="Job Openings &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:674px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-team-job-openings');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	*** URL CHANGED — CHECK THE LIVE EMBED. Previously our-team-job-openings, whose local clone tracks Penn-MEDIATED/Team.git. The current source is PennMEDIATED/team-job-openings. ***
About the Center	<iframe id="pm-about" src="https://pennmediated.github.io/about/" title="About the Center &mdash; Penn MEDIATED" loading="lazy" scrolling="no" style="width:100%;height:3884px;border:0;display:block"></iframe><script>(function(){var f=document.getElementById('pm-about');window.addEventListener('message',function(e){if(e.source!==f.contentWindow)return;var d=e.data||{},h=d.frameHeight||(d.type==='partners-page-resize'?d.height:0);if(h)f.style.height=h+'px';});})();</script>	
